Chargeback Reference Number,Transaction Date,Filing Date,Settlement Date,Issuer Bank,Merchant Name,Merchant Category,Transaction Amount,Currency,Reason Code,Chargeback Stage,Status,Analyst,SLA Met,Days to File,Days to Resolve,Resolution Channel,Merchant Risk Score,Transaction Type,Card Type,Customer Segment,Fraudulent Transaction,Fraud Type,Case Urgency,Cardholder Country
CBR770487,2024-11-20,2025-01-20,2024-12-17,Bank Islam,McDonald,Food & Beverage,1172.39,AUD,R106 Incorrect Amount,Arbitration,Arbitration Closed,Akmal Danial,Yes,61,34,Issuer Portal,37,Subscription,Credit,Business,No,-,Medium,Vietnam
CBR216739,2023-01-27,2023-03-21,2023-02-16,Public Bank,AEON,Grocery,1222.84,IDR,R105 Cancelled Subscription,Pre-Arbitration,Manual Review Required,Shazlin Suhaime,Yes,53,33,Merchant Coordination,50,POS,Credit,Business,No,-,Medium,Malaysia
CBR126225,2023-10-24,2023-11-19,2023-11-10,Standard Chartered,Padini,Fashion,1828.47,USD,R110 Customer Dispute,First Chargeback,Lost,Akmal Danial,Yes,26,9,In-House Review,87,Subscription,Debit,Business,No,-,Medium,Indonesia
CBR877572,2023-08-29,2023-10-09,2023-09-22,Maybank,Digi,Telecom,1575.67,AED,R107 Late Settlement,Arbitration,Lost,Shazlin Suhaime,Yes,41,17,Issuer Portal,82,QR,Credit,Premium,No,-,Medium,Australia
CBR388389,2025-03-05,2025-04-11,2025-04-03,Maybank,Traveloka,Travel,253.9,NZD,R114 Failed Delivery,Pre-Arbitration,Manual Review Required,Shazlin Suhaime,Yes,37,8,Merchant Coordination,35,QR,Debit,Regular,No,-,Low,Vietnam
CBR356787,2024-12-31,2025-02-06,2025-01-29,Public Bank,Watsons,Retail,472.34,MYR,R113 Unauthorized Recurring Charge,Pre-Arbitration,Pending Arbitration,Shazlin Suhaime,Yes,37,8,Manual Investigation,42,POS,Prepaid,Regular,Yes,Friendly Fraud,Low,United Kingdom
CBR334053,2025-08-20,2025-11-22,2025-09-04,Standard Chartered,McDonald,Food & Beverage,1003.15,ZAR,R102 Services Not Received,First Chargeback,Won,Akmal Danial,No,94,79,Manual Investigation,34,POS,Debit,Business,No,-,Medium,Malaysia
CBR246316,2023-04-04,2023-06-30,2023-04-18,Bank Islam,Domino,Food & Beverage,1459.15,USD,R114 Failed Delivery,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,No,87,73,Manual Investigation,90,Subscription,Prepaid,Regular,No,-,Medium,Thailand
CBR872246,2024-03-31,2024-05-26,2024-04-08,AmBank,Watsons,Retail,867.93,PHP,R111 Technical Error,Pre-Arbitration,Pre-Arbitration Rejected,Nadiah Saat,No,56,48,Issuer Portal,47,POS,Prepaid,Regular,No,-,Low,Hong Kong
CBR207473,2023-02-02,2023-04-07,2023-02-09,RHB,Tealive,Food & Beverage,393.24,USD,R106 Incorrect Amount,First Chargeback,Withdrawn by Cardholder,Nadiah Saat,No,64,57,In-House Review,51,POS,Debit,Regular,No,-,Low,Malaysia
CBR809570,2023-08-24,2023-11-07,2023-08-31,Public Bank,Klook,Travel,866.74,IDR,R102 Services Not Received,First Chargeback,Won,Akmal Danial,No,75,68,In-House Review,82,QR,Credit,Regular,No,-,Medium,Malaysia
CBR876646,2024-06-29,2024-10-19,2024-07-25,CIMB,AliExpress,E-commerce,879.87,ZAR,R102 Services Not Received,First Chargeback,Won,Akmal Danial,No,112,86,Automated Dispute System,34,QR,Debit,Business,Yes,Stolen Card,High,Philippines
CBR671858,2023-01-29,2023-03-06,2023-02-14,Bank Islam,Amazon,E-commerce,1254.24,MYR,R101 Unauthorized Transaction,First Chargeback,Submitted,Nadiah Saat,Yes,36,20,Automated Dispute System,78,Online,Credit,Business,Yes,Stolen Card,High,Thailand
CBR191161,2023-08-03,2023-10-27,2023-08-22,Maybank,Charles & Keith,Fashion,1591.35,IDR,R108 Credit Not Processed,Arbitration,Lost,Shazlin Suhaime,No,85,66,Manual Investigation,36,POS,Credit,Regular,No,-,Medium,Malaysia
CBR719176,2024-12-02,2025-03-05,2024-12-15,AmBank,Tesco,Grocery,256.33,CAD,R110 Customer Dispute,Arbitration,Arbitration Closed,Shazlin Suhaime,No,93,80,In-House Review,81,POS,Credit,Regular,No,-,Medium,Malaysia
CBR542417,2024-08-10,2024-11-10,2024-08-30,HSBC,AirAsia,Travel,1919.68,AED,R110 Customer Dispute,Pre-Arbitration,Won,Nadiah Saat,No,92,72,Manual Investigation,53,QR,Credit,Premium,No,-,Medium,United States
CBR133326,2023-08-26,2023-10-18,2023-09-23,Maybank,Nike,Fashion,119.35,AED,R111 Technical Error,Arbitration,Lost,Nadiah Saat,Yes,53,25,In-House Review,51,POS,Debit,Regular,No,-,Low,Malaysia
CBR131244,2024-09-27,2025-01-09,2024-10-18,Standard Chartered,YouTube Premium,Subscription,1386.37,IDR,R112 Billing Issue,Arbitration,Won,Nadiah Saat,No,104,83,In-House Review,86,Online,Credit,Premium,Yes,Account Takeover,High,Philippines
CBR198246,2025-05-23,2025-08-26,2025-05-30,RHB,Padini,Fashion,449.94,GBP,R115 Payment Method Error,First Chargeback,Won,Shazlin Suhaime,No,95,88,Automated Dispute System,41,POS,Credit,Premium,Yes,Phishing,Low,Vietnam
CBR329258,2023-01-08,2023-02-05,2023-01-26,Standard Chartered,Celcom,Telecom,1111.61,GBP,R102 Services Not Received,First Chargeback,Additional Info Requested,Nadiah Saat,Yes,28,10,Issuer Portal,48,POS,Debit,Regular,No,-,Medium,Malaysia
CBR343962,2025-05-19,2025-07-20,2025-05-31,HSBC,Grab,Transport,1695.83,USD,R112 Billing Issue,First Chargeback,Under Review,Nadiah Saat,No,62,50,Issuer Portal,71,POS,Debit,Premium,No,-,Medium,Philippines
CBR629903,2025-01-23,2025-03-23,2025-02-05,Bank Islam,Econsave,Grocery,915.13,AUD,R115 Payment Method Error,Pre-Arbitration,Withdrawn by Cardholder,Shazlin Suhaime,No,59,46,Issuer Portal,86,Online,Credit,Regular,No,-,Medium,Japan
CBR731262,2024-01-03,2024-03-22,2024-01-27,Maybank,AEON,Grocery,1390.24,JPY,R104 Duplicate Charge,Pre-Arbitration,Lost,Shazlin Suhaime,No,79,55,In-House Review,80,Wallet,Prepaid,Premium,No,-,Medium,Malaysia
CBR127824,2023-06-17,2023-07-25,2023-07-02,CIMB,Mydin,Grocery,1703.75,GBP,R111 Technical Error,Arbitration,Lost,Nadiah Saat,Yes,38,23,Manual Investigation,62,Online,Prepaid,Regular,No,-,Medium,Thailand
CBR688508,2025-10-29,2025-12-03,2025-11-21,Bank Islam,Tealive,Food & Beverage,999.68,INR,R113 Unauthorized Recurring Charge,Pre-Arbitration,Pre-Arbitration Submitted,Nadiah Saat,Yes,35,12,Automated Dispute System,67,Subscription,Prepaid,Premium,Yes,Friendly Fraud,High,Thailand
CBR308496,2023-12-30,2024-02-14,2024-01-13,OCBC,MAXIS,Telecom,906.9,HKD,R104 Duplicate Charge,First Chargeback,Won,Nadiah Saat,Yes,46,32,In-House Review,65,QR,Prepaid,Premium,No,-,Medium,Malaysia
CBR850800,2023-04-11,2023-07-14,2023-05-02,Standard Chartered,Disney+,Entertainment,706.39,PHP,R105 Cancelled Subscription,Arbitration,Arbitration Filed,Nadiah Saat,No,94,73,Automated Dispute System,53,Subscription,Credit,Premium,No,-,Low,Vietnam
CBR781453,2023-04-15,2023-05-21,2023-04-22,CIMB,Spotify,Subscription,886.17,INR,R107 Late Settlement,Pre-Arbitration,Lost,Shazlin Suhaime,Yes,36,29,Manual Investigation,89,Online,Prepaid,Premium,No,-,Medium,Malaysia
CBR835392,2025-07-03,2025-09-25,2025-07-11,Public Bank,Giant,Grocery,404.61,KRW,R106 Incorrect Amount,First Chargeback,Lost,Shazlin Suhaime,No,84,76,In-House Review,84,Wallet,Credit,Regular,No,-,Medium,Philippines
CBR671412,2024-10-13,2024-11-05,2024-10-28,OCBC,FamilyMart,Grocery,1541.3,CNY,R115 Payment Method Error,Pre-Arbitration,Withdrawn by Cardholder,Shazlin Suhaime,Yes,23,8,Issuer Portal,62,Subscription,Prepaid,Business,No,-,Medium,United Kingdom
CBR539898,2025-05-20,2025-07-14,2025-06-08,Bank Islam,KFC,Food & Beverage,457.72,JPY,R114 Failed Delivery,Arbitration,Arbitration Closed,Shazlin Suhaime,Yes,55,36,Automated Dispute System,50,QR,Credit,Regular,No,-,Low,Vietnam
CBR331148,2025-02-26,2025-04-20,2025-03-18,Standard Chartered,Setel,Transport,880.17,THB,R112 Billing Issue,Arbitration,Arbitration Filed,Akmal Danial,Yes,53,33,Issuer Portal,83,Subscription,Credit,Business,No,-,Medium,Thailand
CBR571029,2024-08-01,2024-10-26,2024-08-29,Standard Chartered,Lazada,E-commerce,1526.87,IDR,R107 Late Settlement,Arbitration,Won,Shazlin Suhaime,No,86,58,In-House Review,66,POS,Debit,Premium,No,-,Medium,Australia
CBR717889,2025-11-15,2026-02-05,2025-12-10,Bank Islam,HBO Go,Subscription,1960.44,SGD,R110 Customer Dispute,First Chargeback,Timed Out,Akmal Danial,No,82,57,Issuer Portal,58,QR,Credit,Business,No,-,Medium,Australia
CBR391704,2024-02-13,2024-05-10,2024-02-23,HSBC,Agoda,Travel,359.38,USD,R103 Goods Not as Described,Arbitration,Lost,Akmal Danial,No,87,77,Merchant Coordination,48,POS,Credit,Regular,Yes,Phishing,Low,Australia
CBR948749,2024-08-18,2024-09-18,2024-09-10,HSBC,Popular,Retail,347.79,EUR,R106 Incorrect Amount,Pre-Arbitration,Won,Nadiah Saat,Yes,31,8,Issuer Portal,38,Subscription,Credit,Regular,No,-,Low,India
CBR106814,2025-06-13,2025-09-17,2025-07-12,RHB,Guardian,Retail,321.77,ZAR,R114 Failed Delivery,Arbitration,Timed Out,Shazlin Suhaime,No,96,67,Automated Dispute System,30,QR,Prepaid,Regular,No,-,Low,United Kingdom
CBR895667,2024-10-29,2025-02-09,2024-11-17,AmBank,Charles & Keith,Fashion,1616.09,ZAR,R114 Failed Delivery,Arbitration,Arbitration Closed,Nadiah Saat,No,103,84,Issuer Portal,71,Online,Prepaid,Premium,No,-,Medium,India
CBR944962,2025-07-18,2025-09-30,2025-08-16,Standard Chartered,Tesco,Grocery,785.23,AUD,R112 Billing Issue,First Chargeback,Won,Nadiah Saat,Yes,74,45,Automated Dispute System,66,POS,Credit,Business,No,-,Medium,Malaysia
CBR267414,2024-09-14,2024-10-27,2024-09-28,Public Bank,foodpanda,Food & Beverage,1741.73,AED,R101 Unauthorized Transaction,Pre-Arbitration,Manual Review Required,Akmal Danial,Yes,43,29,In-House Review,78,Subscription,Prepaid,Premium,Yes,Account Takeover,High,Singapore
CBR832052,2025-01-30,2025-04-21,2025-02-09,Public Bank,Expedia,Travel,1534.25,AUD,R102 Services Not Received,Pre-Arbitration,Won,Shazlin Suhaime,No,81,71,Automated Dispute System,70,Online,Debit,Regular,No,-,Medium,Indonesia
CBR543143,2023-02-19,2023-05-05,2023-03-08,CIMB,Boost Juice,Food & Beverage,1712.27,KRW,R107 Late Settlement,Pre-Arbitration,Pre-Arbitration Submitted,Akmal Danial,No,75,58,Automated Dispute System,34,Subscription,Credit,Premium,No,-,Medium,Malaysia
